Plant,Material ID,Period,Cost
PLANT-06,MAT-4120,2026-09,259.89
PLANT-06,MAT-4120,2026-10,273.23
PLANT-06,MAT-4120,2026-11,261.25
PLANT-06,MAT-5185,2026-01,83.72
PLANT-06,MAT-5185,2026-02,85.53
PLANT-06,MAT-5185,2026-03,86.05
PLANT-06,MAT-5185,2026-04,88.74
PLANT-06,MAT-5185,2026-05,88.35
PLANT-06,MAT-5185,2026-06,91.98
PLANT-06,MAT-5185,2026-07,90.62
PLANT-06,MAT-5185,2026-08,95.25
PLANT-06,MAT-5185,2026-09,92.86
PLANT-06,MAT-5185,2026-10,98.54
PLANT-06,MAT-5185,2026-11,95.08
