Plant,Material ID,Period,Cost,Date
PLANT-04,MAT-1001,2026-04,166.33,2026-04
PLANT-04,MAT-1001,2026-05,164.4,2026-05
PLANT-04,MAT-1001,2026-06,169.95,2026-06
PLANT-04,MAT-1001,2026-07,166.29,2026-07
PLANT-04,MAT-1001,2026-08,173.6,2026-08
PLANT-04,MAT-1001,2026-09,168.15,2026-09
PLANT-04,MAT-1001,2026-10,177.28,2026-10
PLANT-04,MAT-1001,2026-11,169.98,2026-11
PLANT-04,MAT-1001,2026-12,175.72,2026-12
PLANT-04,MAT-2004,2026-01,188.6,2026-01
PLANT-04,MAT-2004,2026-02,190.93,2026-02
PLANT-04,MAT-2004,2026-03,190.4,2026-03
PLANT-04,MAT-2004,2026-04,194.67,2026-04
PLANT-04,MAT-2004,2026-05,192.18,2026-05
PLANT-04,MAT-2004,2026-06,198.43,2026-06
PLANT-04,MAT-2004,2026-07,193.93,2026-07
PLANT-04,MAT-2004,2026-08,202.23,2026-08
PLANT-04,MAT-2004,2026-09,195.65,2026-09
PLANT-04,MAT-2004,2026-10,206.05,2026-10
PLANT-04,MAT-2004,2026-11,197.34,2026-11
PLANT-04,MAT-2004,2026-12,203.78,2026-12
PLANT-04,MAT-3098,2026-01,123.74,2026-01
PLANT-04,MAT-3098,2026-02,125.75,2026-02
PLANT-04,MAT-3098,2026-03,125.87,2026-03
PLANT-04,MAT-3098,2026-04,129.16,2026-04
PLANT-04,MAT-3098,2026-05,127.97,2026-05
PLANT-04,MAT-3098,2026-06,132.6,2026-06
PLANT-04,MAT-3098,2026-07,130.04,2026-07
PLANT-04,MAT-3098,2026-08,136.07,2026-08
PLANT-04,MAT-3098,2026-09,132.08,2026-09
PLANT-04,MAT-3098,2026-10,139.56,2026-10
PLANT-04,MAT-3098,2026-11,134.1,2026-11
PLANT-04,MAT-3098,2026-12,138.92,2026-12
PLANT-04,MAT-4120,2026-01,243.57,2026-01
PLANT-04,MAT-4120,2026-02,246.17,2026-02
PLANT-04,MAT-4120,2026-03,245.1,2026-03
PLANT-04,MAT-4120,2026-04,250.19,2026-04
PLANT-04,MAT-4120,2026-05,246.6,2026-05
PLANT-04,MAT-4120,2026-06,254.23,2026-06
PLANT-04,MAT-4120,2026-07,248.07,2026-07
PLANT-04,MAT-4120,2026-08,258.29,2026-08
PLANT-04,MAT-4120,2026-09,249.52,2026-09
PLANT-04,MAT-4120,2026-10,262.39,2026-10
PLANT-04,MAT-4120,2026-11,250.94,2026-11
PLANT-04,MAT-4120,2026-12,258.75,2026-12
PLANT-04,MAT-5185,2026-01,73.14,2026-01
PLANT-04,MAT-5185,2026-02,74.89,2026-02
PLANT-04,MAT-5185,2026-03,75.52,2026-03
PLANT-04,MAT-5185,2026-04,78.05,2026-04
PLANT-04,MAT-5185,2026-05,77.87,2026-05
PLANT-04,MAT-5185,2026-06,81.24,2026-06
PLANT-04,MAT-5185,2026-07,80.2,2026-07
PLANT-04,MAT-5185,2026-08,84.46,2026-08
PLANT-04,MAT-5185,2026-09,82.5,2026-09
PLANT-04,MAT-5185,2026-10,87.7,2026-10
PLANT-04,MAT-5185,2026-11,84.77,2026-11
PLANT-04,MAT-5185,2026-12,88.32,2026-12
PLANT-05,MAT-1001,2026-01,165.83,2026-01
PLANT-05,MAT-1001,2026-02,168.05,2026-02
PLANT-05,MAT-1001,2026-03,167.75,2026-03
PLANT-05,MAT-1001,2026-04,171.67,2026-04
PLANT-05,MAT-1001,2026-05,169.64,2026-05
PLANT-05,MAT-1001,2026-06,175.32,2026-06
PLANT-05,MAT-1001,2026-07,171.5,2026-07
PLANT-05,MAT-1001,2026-08,179.0,2026-08
PLANT-05,MAT-1001,2026-09,173.33,2026-09
PLANT-05,MAT-1001,2026-10,182.71,2026-10
PLANT-05,MAT-1001,2026-11,175.14,2026-11
PLANT-05,MAT-1001,2026-12,181.01,2026-12
PLANT-05,MAT-2004,2026-01,193.89,2026-01
PLANT-05,MAT-2004,2026-02,196.25,2026-02
PLANT-05,MAT-2004,2026-03,195.67,2026-03
PLANT-05,MAT-2004,2026-04,200.01,2026-04
PLANT-05,MAT-2004,2026-05,197.42,2026-05
PLANT-05,MAT-2004,2026-06,203.8,2026-06
PLANT-05,MAT-2004,2026-07,199.14,2026-07
PLANT-05,MAT-2004,2026-08,207.62,2026-08
PLANT-05,MAT-2004,2026-09,200.83,2026-09
PLANT-05,MAT-2004,2026-10,211.47,2026-10
PLANT-05,MAT-2004,2026-11,202.5,2026-11
PLANT-05,MAT-2004,2026-12,209.07,2026-12
PLANT-05,MAT-3098,2026-01,129.03,2026-01
PLANT-05,MAT-3098,2026-02,131.06,2026-02
PLANT-05,MAT-3098,2026-03,131.13,2026-03
PLANT-05,MAT-3098,2026-04,134.5,2026-04
PLANT-05,MAT-3098,2026-05,133.2,2026-05
PLANT-05,MAT-3098,2026-06,137.97,2026-06
PLANT-05,MAT-3098,2026-07,135.25,2026-07
PLANT-05,MAT-3098,2026-08,141.46,2026-08
PLANT-05,MAT-3098,2026-09,137.27,2026-09
PLANT-05,MAT-3098,2026-10,144.99,2026-10
PLANT-05,MAT-3098,2026-11,139.26,2026-11
PLANT-05,MAT-3098,2026-12,144.21,2026-12
PLANT-05,MAT-4120,2026-01,248.86,2026-01
PLANT-05,MAT-4120,2026-02,251.49,2026-02
PLANT-05,MAT-4120,2026-03,250.36,2026-03
PLANT-05,MAT-4120,2026-04,255.53,2026-04
PLANT-05,MAT-4120,2026-05,251.84,2026-05
PLANT-05,MAT-4120,2026-06,259.6,2026-06
PLANT-05,MAT-4120,2026-07,253.28,2026-07
PLANT-05,MAT-4120,2026-08,263.69,2026-08
PLANT-05,MAT-4120,2026-09,254.7,2026-09
PLANT-05,MAT-4120,2026-10,267.81,2026-10
PLANT-05,MAT-4120,2026-11,256.09,2026-11
PLANT-05,MAT-4120,2026-12,264.04,2026-12
PLANT-05,MAT-5185,2026-01,78.43,2026-01
PLANT-05,MAT-5185,2026-02,80.21,2026-02
PLANT-05,MAT-5185,2026-03,80.78,2026-03
PLANT-05,MAT-5185,2026-04,83.4,2026-04
PLANT-05,MAT-5185,2026-05,83.11,2026-05
PLANT-05,MAT-5185,2026-06,86.61,2026-06
PLANT-05,MAT-5185,2026-07,85.41,2026-07
PLANT-05,MAT-5185,2026-08,89.85,2026-08
PLANT-05,MAT-5185,2026-09,87.68,2026-09
PLANT-05,MAT-5185,2026-10,93.12,2026-10
PLANT-05,MAT-5185,2026-11,89.92,2026-11
PLANT-05,MAT-5185,2026-12,93.61,2026-12
PLANT-06,MAT-1001,2026-01,171.12,2026-01
PLANT-06,MAT-1001,2026-02,173.36,2026-02
PLANT-06,MAT-1001,2026-03,173.01,2026-03
PLANT-06,MAT-1001,2026-04,177.01,2026-04
PLANT-06,MAT-1001,2026-05,174.87,2026-05
PLANT-06,MAT-1001,2026-06,180.69,2026-06
PLANT-06,MAT-1001,2026-07,176.71,2026-07
PLANT-06,MAT-1001,2026-08,184.4,2026-08
PLANT-06,MAT-1001,2026-09,178.52,2026-09
PLANT-06,MAT-1001,2026-10,188.13,2026-10
PLANT-06,MAT-1001,2026-11,180.3,2026-11
PLANT-06,MAT-1001,2026-12,186.3,2026-12
PLANT-06,MAT-2004,2026-01,199.18,2026-01
PLANT-06,MAT-2004,2026-02,201.56,2026-02
PLANT-06,MAT-2004,2026-03,200.93,2026-03
PLANT-06,MAT-2004,2026-04,205.35,2026-04
PLANT-06,MAT-2004,2026-05,202.65,2026-05
PLANT-06,MAT-2004,2026-06,209.17,2026-06
PLANT-06,MAT-2004,2026-07,204.35,2026-07
PLANT-06,MAT-2004,2026-08,213.02,2026-08
PLANT-06,MAT-2004,2026-09,206.02,2026-09
PLANT-06,MAT-2004,2026-10,216.89,2026-10
PLANT-06,MAT-2004,2026-11,207.66,2026-11
PLANT-06,MAT-2004,2026-12,214.36,2026-12
PLANT-06,MAT-3098,2026-01,134.32,2026-01
PLANT-06,MAT-3098,2026-02,136.38,2026-02
PLANT-06,MAT-3098,2026-03,136.39,2026-03
PLANT-06,MAT-3098,2026-04,139.84,2026-04
PLANT-06,MAT-3098,2026-05,138.44,2026-05
PLANT-06,MAT-3098,2026-06,143.34,2026-06
PLANT-06,MAT-3098,2026-07,140.46,2026-07
PLANT-06,MAT-3098,2026-08,146.86,2026-08
PLANT-06,MAT-3098,2026-09,142.45,2026-09
PLANT-06,MAT-3098,2026-10,150.41,2026-10
PLANT-06,MAT-3098,2026-11,144.42,2026-11
PLANT-06,MAT-3098,2026-12,149.5,2026-12
PLANT-06,MAT-4120,2026-01,254.15,2026-01
PLANT-06,MAT-4120,2026-02,256.81,2026-02
PLANT-06,MAT-4120,2026-03,255.63,2026-03
PLANT-06,MAT-4120,2026-04,260.87,2026-04
PLANT-06,MAT-4120,2026-05,257.07,2026-05
PLANT-06,MAT-4120,2026-06,264.97,2026-06
PLANT-06,MAT-4120,2026-07,258.49,2026-07
PLANT-06,MAT-4120,2026-08,269.09,2026-08
PLANT-06,MAT-4120,2026-09,259.89,2026-09
PLANT-06,MAT-4120,2026-10,273.23,2026-10
PLANT-06,MAT-4120,2026-11,261.25,2026-11
PLANT-06,MAT-4120,2026-12,269.33,2026-12
PLANT-06,MAT-5185,2026-01,83.72,2026-01
PLANT-06,MAT-5185,2026-02,85.53,2026-02
PLANT-06,MAT-5185,2026-03,86.05,2026-03
PLANT-06,MAT-5185,2026-04,88.74,2026-04
PLANT-06,MAT-5185,2026-05,88.35,2026-05
PLANT-06,MAT-5185,2026-06,91.98,2026-06
PLANT-06,MAT-5185,2026-07,90.62,2026-07
PLANT-06,MAT-5185,2026-08,95.25,2026-08
PLANT-06,MAT-5185,2026-09,92.86,2026-09
PLANT-06,MAT-5185,2026-10,98.54,2026-10
PLANT-06,MAT-5185,2026-11,95.08,2026-11
PLANT-06,MAT-5185,2026-12,98.9,2026-12
